Company,Date Added,Exchange,Industry,Symbol
3M,1976-08-09,NYSE,Conglomerate,MMM
American Express,1982-08-30,NYSE,Consumer finance,AXP
Apple,2015-03-18,NASDAQ,Consumer electronics,AAPL
Boeing,1987-03-12,NYSE,Aerospace,BA
Caterpillar,1991-05-06,NYSE,Construction,CAT
Chevron,2008-02-19,NYSE,Oil & gas,CVX
Cisco Systems,2009-06-08,NASDAQ,Computer networking,CSCO
Coca-Cola,1987-03-12,NYSE,Beverages,KO
DuPont,1935-11-20,NYSE,Chemical industry,DD
ExxonMobil,1928-10-01,NYSE,Oil & gas,XOM
General Electric,1907-11-07,NYSE,Conglomerate,GE
Goldman Sachs,2013-09-20,NYSE,Banking,GS
The Home Depot,1999-11-01,NYSE,Home improvement,HD
Intel,1999-11-01,NASDAQ,Semiconductors,INTC
IBM,1979-06-29,NYSE,Computers,IBM
Johnson & Johnson,1997-03-17,NYSE,Pharmaceuticals,JNJ
JPMorgan Chase,1991-05-06,NYSE,Banking,JPM
McDonald's,1985-10-30,NYSE,Fast food,MCD
Merck,1979-06-29,NYSE,Pharmaceuticals,MRK
Microsoft,1999-11-01,NASDAQ,Consumer electronics,MSFT
Nike,2013-09-20,NYSE,Apparel,NKE
Pfizer,2004-04-08,NYSE,Pharmaceuticals,PFE
Procter & Gamble,1932-05-26,NYSE,Consumer goods,PG
Travelers,2009-06-08,NYSE,Insurance,TRV
UnitedHealth Group,2012-09-24,NYSE,Managed health care,UNH
United Technologies,1939-03-14,NYSE,Conglomerate,UTX
Verizon,2004-04-08,NYSE,Telecommunication,VZ
Visa,2013-09-20,NYSE,Consumer banking,V
Wal-Mart,1997-03-17,NYSE,Retail,WMT
Walt Disney,1991-05-06,NYSE,Broadcasting,DIS
